Latin_name,Common_name,Tree_Hollow_Use,Head_Body_Length_mm,Body_Mass_g
Plecturocebus cupreus,Coppery Titi,0,327.5,962.5
Plecturocebus discolor,Red-crowned Titi,0,318.75,1002.5
Plecturocebus donacophilus,White-eared Titi,0,333.25,950
Plecturocebus dubius,Doubtful Titi,0,,
Plecturocebus grovesi,Groves' titi,0,,
Plecturocebus hoffmannsi,Hoffmann’s Titi,0,315,1010
Plecturocebus miltoni,Milton's Titi,0,742.5,1270
Plecturocebus modestus,Rio Beni Titi,0,315,800
Plecturocebus moloch,Red-bellied Titi,0,341.5,942.5
Plecturocebus oenanthe,Rio Mayo Titi,0,320.5,
Plecturocebus olallae,Olalla Brother’s Titi,0,325,
Plecturocebus ornatus,Ornate Titi,0,330.75,1170.5
Plecturocebus pallescens,White-coated Titi,0,337.5,800
Plecturocebus stephennashi,Stephen Nash’s Titi,0,275,724
Plecturocebus toppini,Toppin's Titi,0,,
Plecturocebus urubambensis,Urubamba Brown Titi,0,300,
Plecturocebus vieirai,Vieira's Titi,0,314.5,955
Saguinus bicolor,Pied Tamarin,0,280,540
Saguinus geoffroyi,Geoffroy's Tamarin,0,236.95,396.9
Saguinus imperator,Emperor Tamarin,0,245,475
Saguinus inustus,Mottled-face Tamarin,0,233.5,694
Saguinus labiatus,Red-bellied Tamarin,1,245,503
Saguinus leucopus,White-footed Tamarin,0,247.5,462
Saguinus martinsi,Martins' Bare-faced Tamarin,0,294.5,500
Saguinus midas,Midas Tamarin,0,249,440
Saguinus mystax,Mustached Tamarin,0,244,505
Saguinus niger,Western Black-handed Tamarin,0,238.25,429.5
Saguinus oedipus,Cotton-top Tamarin,0,235,410.5
Saguinus ursulus,Eastern Black-handed Tamarin,0,,
Saimiri boliviensis,Black-capped Squirrel Monkey,0,285.75,900
Saimiri cassiquiarensis,Humboldt’s Squirrel Monkey,0,310,881.25
Saimiri collinsi,Collins’ Squirrel Monkey,0,325,685
Saimiri oerstedii,Central American Squirrel Monkey,0,305,695
Saimiri sciureus,Guianan Squirrel Monkey,0,318.75,687.5
Saimiri ustus,Golden-backed Squirrel Monkey,0,312.5,852.5
Saimiri vanzolinii,Black-headed Squirrel Monkey,0,262.5,800
Sciurocheirus alleni,Bioko Squirrel Galago,1,235.5,425
Sciurocheirus gabonensis,Gabon Squirrel Galago,1,195,264
Sciurocheirus makandensis,Makandé Squirrel Galago,0,,
Tarsius dentatus,Dian's Tarsier,0,121.5,111.5
Tarsius fuscus,Makassar Tarsier,0,150,124.25
Tarsius lariang,Lariang Tarsier,0,119.5,110
Tarsius pelengensis,Peleng Tarsier,0,131.5,249.5
Tarsius pumilus,Sulawesi Mountain Tarsier,1,100.15,50.55
Tarsius sangirensis,Great Sangihe Tarsier,0,150,142.5
Tarsius spectrumgurskyae,Manado Spectral Tarsier,0,,
Tarsius supriatnai,Bumbulan Tarsier,0,,
Tarsius tarsier,Selayar Tarsier,0,245,127.5
Tarsius tumpara,Siau Island Tarsier,0,150,
Tarsius wallacei,Wallace's Tarsier,0,118.5,106
